trait,access,author,category,consortium,id,mr,ncase,ncontrol,note,nsnp,pmid,population,priority,sample_size,sd,unit,sex,subcategory,year,EFO,EFO_id,match
Homocitrulline,public,Shin,Metabolites,NA,431,1,NA,NA,NA,2545416,24816252,European,1,4135,0.171706192,log10 units,Males and females,Amino acid,2014,,,
Aspartylphenylalanine,public,Shin,Metabolites,NA,432,1,NA,NA,NA,2545786,24816252,European,1,3948,0.2257258,log10 units,Males and females,Peptide,2014,,,
Levulinate (4-oxovalerate),public,Shin,Metabolites,NA,433,1,NA,NA,NA,2544323,24816252,European,1,6982,0.122633875,log10 units,Males and females,Amino acid,2014,,,
Palmitoylcarnitine,public,Shin,Metabolites,NA,434,1,NA,NA,NA,2545659,24816252,European,1,7701,0.175753168,log10 units,Males and females,Lipid,2014,,,
X-08988,public,Shin,Metabolites,NA,435,1,NA,NA,NA,2545530,24816252,European,1,7776,0.133810097,log10 units,Males and females,Unknown metabolite,2014,,,
X-09026,public,Shin,Metabolites,NA,436,1,NA,NA,NA,2545849,24816252,European,1,7627,0.137075612,log10 units,Males and females,Unknown metabolite,2014,,,
X-09108,public,Shin,Metabolites,NA,437,1,NA,NA,NA,2545794,24816252,European,1,6910,0.125209285,log10 units,Males and females,Unknown metabolite,2014,,,
Cholate,public,Shin,Metabolites,NA,438,1,NA,NA,NA,2545328,24816252,European,1,5929,0.498160587,log10 units,Males and females,Lipid,2014,,,
X-09706,public,Shin,Metabolites,NA,439,1,NA,NA,NA,2545584,24816252,European,1,7697,0.148712301,log10 units,Males and females,Unknown metabolite,2014,,,
X-10395,public,Shin,Metabolites,NA,440,1,NA,NA,NA,2545550,24816252,European,1,7784,0.118316799,log10 units,Males and females,Unknown metabolite,2014,,,
X-10429,public,Shin,Metabolites,NA,441,1,NA,NA,NA,2544630,24816252,European,1,6807,0.144402078,log10 units,Males and females,Unknown metabolite,2014,,,
X-10500,public,Shin,Metabolites,NA,442,1,NA,NA,NA,2545598,24816252,European,1,7751,0.097452378,log10 units,Males and females,Unknown metabolite,2014,,,
X-10506,public,Shin,Metabolites,NA,443,1,NA,NA,NA,2545397,24816252,European,1,7710,0.126873147,log10 units,Males and females,Unknown metabolite,2014,,,
X-10510,public,Shin,Metabolites,NA,444,1,NA,NA,NA,2545516,24816252,European,1,7792,0.143171848,log10 units,Males and females,Unknown metabolite,2014,,,
1-linoleoylglycerol (1-monolinolein),public,Shin,Metabolites,NA,445,1,NA,NA,NA,2545660,24816252,European,1,2797,0.229871054,log10 units,Males and females,Lipid,2014,,,
Indoleacetate,public,Shin,Metabolites,NA,446,1,NA,NA,NA,2545787,24816252,European,1,7618,0.172464243,log10 units,Males and females,Amino acid,2014,,,
Hyodeoxycholate,public,Shin,Metabolites,NA,447,1,NA,NA,NA,2544532,24816252,European,1,6025,0.343203052,log10 units,Males and females,Lipid,2014,,,
3-indoxyl sulfate,public,Shin,Metabolites,NA,448,1,NA,NA,NA,2545634,24816252,European,1,7787,0.202486653,log10 units,Males and females,Amino acid,2014,,,
N-acetylglycine,public,Shin,Metabolites,NA,449,1,NA,NA,NA,2545572,24816252,European,1,7135,0.247302759,log10 units,Males and females,Amino acid,2014,,,
"Bilirubin (Z,Z)",public,Shin,Metabolites,NA,450,1,NA,NA,NA,2545527,24816252,European,1,6812,0.317417635,log10 units,Males and females,Cofactors and vitamins,2014,,,
Creatine,public,Shin,Metabolites,NA,451,1,NA,NA,NA,2545661,24816252,European,1,7822,0.188933933,log10 units,Males and females,Amino acid,2014,,,
Erythrose,public,Shin,Metabolites,NA,452,1,NA,NA,NA,2545059,24816252,European,1,7263,0.195896484,log10 units,Males and females,Carbohydrate,2014,,,
Threonate,public,Shin,Metabolites,NA,453,1,NA,NA,NA,2545583,24816252,European,1,7782,0.191767665,log10 units,Males and females,Cofactors and vitamins,2014,,,
X-10810,public,Shin,Metabolites,NA,454,1,NA,NA,NA,2545052,24816252,European,1,7232,0.140568238,log10 units,Males and females,Unknown metabolite,2014,,,
Cysteine,public,Shin,Metabolites,NA,455,1,NA,NA,NA,2545727,24816252,European,1,7692,0.1325454,log10 units,Males and females,Amino acid,2014,,,
Pyroglutamylglycine,public,Shin,Metabolites,NA,456,1,NA,NA,NA,2545128,24816252,European,1,1586,0.22114729,log10 units,Males and females,Peptide,2014,,,
N-(2-furoyl)glycine,public,Shin,Metabolites,NA,457,1,NA,NA,NA,2542858,24816252,European,1,604,0.208474773,log10 units,Males and females,Xenobiotics,2014,,,
DSGEGDFXAEGGGVR*,public,Shin,Metabolites,NA,458,1,NA,NA,NA,2545674,24816252,European,1,5371,0.380524689,log10 units,Males and females,Peptide,2014,,,
Pyridoxate,public,Shin,Metabolites,NA,459,1,NA,NA,NA,2545397,24816252,European,1,7703,0.217303307,log10 units,Males and females,Cofactors and vitamins,2014,,,
Androsterone sulfate,public,Shin,Metabolites,NA,460,1,NA,NA,NA,2545586,24816252,European,1,7785,0.370954785,log10 units,Males and females,Lipid,2014,,,
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),public,Shin,Metabolites,NA,461,1,NA,NA,NA,2545488,24816252,European,1,7812,0.449552127,log10 units,Males and females,Lipid,2014,,,
3-(4-hydroxyphenyl)lactate,public,Shin,Metabolites,NA,462,1,NA,NA,NA,2545643,24816252,European,1,7795,0.150762712,log10 units,Males and females,Amino acid,2014,,,
Acetylcarnitine,public,Shin,Metabolites,NA,463,1,NA,NA,NA,2545614,24816252,European,1,7805,0.126578477,log10 units,Males and females,Lipid,2014,,,
Serine,public,Shin,Metabolites,NA,464,1,NA,NA,NA,2545555,24816252,European,1,7796,0.116008896,log10 units,Males and females,Amino acid,2014,,,
Trans-4-hydroxyproline,public,Shin,Metabolites,NA,465,1,NA,NA,NA,2545622,24816252,European,1,7802,0.189474668,log10 units,Males and females,Amino acid,2014,,,
Glutamate,public,Shin,Metabolites,NA,466,1,NA,NA,NA,2545537,24816252,European,1,7804,0.192429954,log10 units,Males and females,Amino acid,2014,,,
Hexanoylcarnitine,public,Shin,Metabolites,NA,467,1,NA,NA,NA,2545658,24816252,European,1,7786,0.176005678,log10 units,Males and females,Lipid,2014,,,
Glycine,public,Shin,Metabolites,NA,468,1,NA,NA,NA,2545539,24816252,European,1,7802,0.144853511,log10 units,Males and females,Amino acid,2014,,,
Alanine,public,Shin,Metabolites,NA,469,1,NA,NA,NA,2545552,24816252,European,1,7788,0.112491988,log10 units,Males and females,Amino acid,2014,,,
Glycochenodeoxycholate,public,Shin,Metabolites,NA,470,1,NA,NA,NA,2545325,24816252,European,1,7087,0.384165399,log10 units,Males and females,Lipid,2014,,,
2-aminobutyrate,public,Shin,Metabolites,NA,471,1,NA,NA,NA,2545391,24816252,European,1,7814,0.113019888,log10 units,Males and females,Amino acid,2014,,,
Scyllo-inositol,public,Shin,Metabolites,NA,472,1,NA,NA,NA,2545394,24816252,European,1,6500,0.210606665,log10 units,Males and females,Lipid,2014,,,
Dodecanedioate,public,Shin,Metabolites,NA,473,1,NA,NA,NA,2544193,24816252,European,1,6478,0.180812867,log10 units,Males and females,Lipid,2014,,,
Gamma-glutamylvaline,public,Shin,Metabolites,NA,474,1,NA,NA,NA,2545824,24816252,European,1,7753,0.135694533,log10 units,Males and females,Peptide,2014,,,
Indolepropionate,public,Shin,Metabolites,NA,475,1,NA,NA,NA,2545646,24816252,European,1,7803,0.199808593,log10 units,Males and females,Amino acid,2014,,,
Butyrylcarnitine,public,Shin,Metabolites,NA,476,1,NA,NA,NA,2545688,24816252,European,1,7796,0.210190717,log10 units,Males and females,Lipid,2014,,,
Myristoleate (14:1n5),public,Shin,Metabolites,NA,477,1,NA,NA,NA,2545638,24816252,European,1,7804,0.213510916,log10 units,Males and females,Fatty acid,2014,,,
Dehydroisoandrosterone sulfate (DHEA-S),public,Shin,Metabolites,NA,478,1,NA,NA,NA,2545593,24816252,European,1,7793,0.307878197,log10 units,Males and females,Lipid,2014,,,
Propionylcarnitine,public,Shin,Metabolites,NA,479,1,NA,NA,NA,2545656,24816252,European,1,7813,0.126043723,log10 units,Males and females,Lipid,2014,,,
Caproate (6:0),public,Shin,Metabolites,NA,480,1,NA,NA,NA,2545676,24816252,European,1,7811,0.111053336,log10 units,Males and females,Fatty acid,2014,,,
Caprylate (8:0),public,Shin,Metabolites,NA,481,1,NA,NA,NA,2545676,24816252,European,1,7802,0.115339976,log10 units,Males and females,Fatty acid,2014,,,
10-undecenoate (11:1n1),public,Shin,Metabolites,NA,482,1,NA,NA,NA,2545687,24816252,European,1,7806,0.161055736,log10 units,Males and females,Fatty acid,2014,,,
Docosapentaenoate (n3 DPA; 22:5n3),public,Shin,Metabolites,NA,483,1,NA,NA,NA,2545661,24816252,European,1,7821,0.199126448,log10 units,Males and females,Fatty acid,2014,,,
X-11204,public,Shin,Metabolites,NA,484,1,NA,NA,NA,2545622,24816252,European,1,7799,0.099982205,log10 units,Males and females,Unknown metabolite,2014,,,
X-02269,public,Shin,Metabolites,NA,485,1,NA,NA,NA,2545491,24816252,European,1,7701,0.375403464,log10 units,Males and females,Unknown metabolite,2014,,,
Phenol sulfate,public,Shin,Metabolites,NA,486,1,NA,NA,NA,2545665,24816252,European,1,7810,0.274851445,log10 units,Males and females,Amino acid,2014,,,
X-06126,public,Shin,Metabolites,NA,487,1,NA,NA,NA,2545794,24816252,European,1,7785,0.318751532,log10 units,Males and females,Unknown metabolite,2014,,,
X-07765,public,Shin,Metabolites,NA,488,1,NA,NA,NA,2544155,24816252,European,1,2170,0.273390208,log10 units,Males and females,Unknown metabolite,2014,,,
X-11247,public,Shin,Metabolites,NA,489,1,NA,NA,NA,2545430,24816252,European,1,7403,0.399673668,log10 units,Males and females,Unknown metabolite,2014,,,
X-11261,public,Shin,Metabolites,NA,490,1,NA,NA,NA,2545582,24816252,European,1,7771,0.246954039,log10 units,Males and females,Unknown metabolite,2014,,,
"Bilirubin (E,E)*",public,Shin,Metabolites,NA,491,1,NA,NA,NA,2545661,24816252,European,1,7748,0.320651098,log10 units,Males and females,Cofactors and vitamins,2014,,,
X-02249,public,Shin,Metabolites,NA,492,1,NA,NA,NA,2545663,24816252,European,1,7818,0.190357159,log10 units,Males and females,Unknown metabolite,2014,,,
Heme*,public,Shin,Metabolites,NA,493,1,NA,NA,NA,2545666,24816252,European,1,6380,0.254399601,log10 units,Males and females,Cofactors and vitamins,2014,,,
X-11299,public,Shin,Metabolites,NA,494,1,NA,NA,NA,2545422,24816252,European,1,7347,0.489259863,log10 units,Males and females,Unknown metabolite,2014,,,
X-11315,public,Shin,Metabolites,NA,495,1,NA,NA,NA,2545567,24816252,European,1,7785,0.166136271,log10 units,Males and females,Unknown metabolite,2014,,,
X-11317,public,Shin,Metabolites,NA,496,1,NA,NA,NA,2545616,24816252,European,1,7811,0.106264241,log10 units,Males and females,Unknown metabolite,2014,,,
1-linoleoylglycerophosphoethanolamine*,public,Shin,Metabolites,NA,497,1,NA,NA,NA,2545675,24816252,European,1,7817,0.17922839,log10 units,Males and females,Lipid,2014,,,
X-11327,public,Shin,Metabolites,NA,498,1,NA,NA,NA,2545642,24816252,European,1,7671,0.114063076,log10 units,Males and females,Unknown metabolite,2014,,,
X-11334,public,Shin,Metabolites,NA,499,1,NA,NA,NA,2544534,24816252,European,1,5462,0.146850833,log10 units,Males and females,Unknown metabolite,2014,,,
3-dehydrocarnitine*,public,Shin,Metabolites,NA,500,1,NA,NA,NA,2545672,24816252,European,1,7809,0.130855934,log10 units,Males and females,Lipid,2014,,,
Pyroglutamine*,public,Shin,Metabolites,NA,501,1,NA,NA,NA,2545655,24816252,European,1,7800,0.212623696,log10 units,Males and females,Amino acid,2014,,,
C-glycosyltryptophan*,public,Shin,Metabolites,NA,502,1,NA,NA,NA,2545614,24816252,European,1,7786,0.08631831,log10 units,Males and females,Amino acid,2014,,,
X-11374,public,Shin,Metabolites,NA,503,1,NA,NA,NA,2545555,24816252,European,1,2609,0.225341802,log10 units,Males and females,Unknown metabolite,2014,,,
X-11381,public,Shin,Metabolites,NA,504,1,NA,NA,NA,2545628,24816252,European,1,7753,0.12626792,log10 units,Males and females,Unknown metabolite,2014,,,
X-03056--N-[3-(2-Oxopyrrolidin-1-yl)propyl]acetamide,public,Shin,Metabolites,NA,505,1,NA,NA,NA,2545675,24816252,European,1,7812,0.150962783,log10 units,Males and females,Amino acid,2014,,,
X-11412,public,Shin,Metabolites,NA,506,1,NA,NA,NA,2546027,24816252,European,1,6935,0.115252063,log10 units,Males and females,Unknown metabolite,2014,,,
X-01911,public,Shin,Metabolites,NA,507,1,NA,NA,NA,2545495,24816252,European,1,6360,0.322210836,log10 units,Males and females,Unknown metabolite,2014,,,
X-11422--xanthine,public,Shin,Metabolites,NA,508,1,NA,NA,NA,2545847,24816252,European,1,6346,0.14832358,log10 units,Males and females,Nucleotide,2014,,,
X-11423--O-sulfo-L-tyrosine,public,Shin,Metabolites,NA,509,1,NA,NA,NA,2545473,24816252,European,1,7765,0.10362939,log10 units,Males and females,Amino acid,2014,,,
X-09789,public,Shin,Metabolites,NA,510,1,NA,NA,NA,2545645,24816252,European,1,7805,0.302139619,log10 units,Males and females,Unknown metabolite,2014,,,
X-11437,public,Shin,Metabolites,NA,511,1,NA,NA,NA,2545254,24816252,European,1,6782,0.451930177,log10 units,Males and females,Unknown metabolite,2014,,,
X-11438,public,Shin,Metabolites,NA,512,1,NA,NA,NA,2546055,24816252,European,1,7084,0.201772757,log10 units,Males and females,Unknown metabolite,2014,,,
X-11440,public,Shin,Metabolites,NA,513,1,NA,NA,NA,2545645,24816252,European,1,7686,0.293210008,log10 units,Males and females,Unknown metabolite,2014,,,
X-11441,public,Shin,Metabolites,NA,514,1,NA,NA,NA,2545374,24816252,European,1,7072,0.239887385,log10 units,Males and females,Unknown metabolite,2014,,,
X-11442,public,Shin,Metabolites,NA,515,1,NA,NA,NA,2545468,24816252,European,1,7142,0.240892061,log10 units,Males and females,Unknown metabolite,2014,,,
X-11444,public,Shin,Metabolites,NA,516,1,NA,NA,NA,2545559,24816252,European,1,7758,0.192775351,log10 units,Males and females,Unknown metabolite,2014,,,
"X-11445--5-alpha-pregnan-3beta,20alpha-disulfate",public,Shin,Metabolites,NA,517,1,NA,NA,NA,2545722,24816252,European,1,2570,0.317303516,log10 units,Males and females,Lipid,2014,,,
X-11452,public,Shin,Metabolites,NA,518,1,NA,NA,NA,2545650,24816252,European,1,6519,0.299445596,log10 units,Males and females,Unknown metabolite,2014,,,
X-11469,public,Shin,Metabolites,NA,519,1,NA,NA,NA,2545783,24816252,European,1,7779,0.359309223,log10 units,Males and females,Unknown metabolite,2014,,,
X-11470,public,Shin,Metabolites,NA,520,1,NA,NA,NA,2545203,24816252,European,1,7271,0.187065946,log10 units,Males and females,Unknown metabolite,2014,,,
X-11478,public,Shin,Metabolites,NA,521,1,NA,NA,NA,2545166,24816252,European,1,6593,0.237562764,log10 units,Males and females,Unknown metabolite,2014,,,
X-11483,public,Shin,Metabolites,NA,522,1,NA,NA,NA,2542922,24816252,European,1,4608,0.29265113,log10 units,Males and females,Unknown metabolite,2014,,,
X-11485,public,Shin,Metabolites,NA,523,1,NA,NA,NA,2545895,24816252,European,1,4544,0.240040331,log10 units,Males and females,Unknown metabolite,2014,,,
X-11491,public,Shin,Metabolites,NA,524,1,NA,NA,NA,2545837,24816252,European,1,6584,0.295914992,log10 units,Males and females,Unknown metabolite,2014,,,
X-11497,public,Shin,Metabolites,NA,525,1,NA,NA,NA,2545579,24816252,European,1,7481,0.191828786,log10 units,Males and females,Unknown metabolite,2014,,,
HWESASXX*,public,Shin,Metabolites,NA,526,1,NA,NA,NA,2545502,24816252,European,1,7700,0.288406854,log10 units,Males and females,Peptide,2014,,,
X-11521,public,Shin,Metabolites,NA,527,1,NA,NA,NA,2545110,24816252,European,1,7193,0.195661112,log10 units,Males and females,Unknown metabolite,2014,,,
X-11529,public,Shin,Metabolites,NA,528,1,NA,NA,NA,2545303,24816252,European,1,6664,0.333733847,log10 units,Males and females,Unknown metabolite,2014,,,
X-11530,public,Shin,Metabolites,NA,529,1,NA,NA,NA,2545760,24816252,European,1,7409,0.247029446,log10 units,Males and females,Unknown metabolite,2014,,,
X-11537,public,Shin,Metabolites,NA,530,1,NA,NA,NA,2545623,24816252,European,1,2719,0.235999743,log10 units,Males and females,Unknown metabolite,2014,,,
X-11538,public,Shin,Metabolites,NA,531,1,NA,NA,NA,2545672,24816252,European,1,7804,0.22579156,log10 units,Males and females,Unknown metabolite,2014,,,
X-11540,public,Shin,Metabolites,NA,532,1,NA,NA,NA,2545690,24816252,European,1,2688,0.229092651,log10 units,Males and females,Unknown metabolite,2014,,,
X-11546,public,Shin,Metabolites,NA,533,1,NA,NA,NA,2544421,24816252,European,1,2015,0.327822464,log10 units,Males and females,Unknown metabolite,2014,,,
X-11550,public,Shin,Metabolites,NA,534,1,NA,NA,NA,2545614,24816252,European,1,7776,0.09681314,log10 units,Males and females,Unknown metabolite,2014,,,
X-11552,public,Shin,Metabolites,NA,535,1,NA,NA,NA,2545812,24816252,European,1,2170,0.152801538,log10 units,Males and females,Unknown metabolite,2014,,,
X-11593--O-methylascorbate*,public,Shin,Metabolites,NA,536,1,NA,NA,NA,2545561,24816252,European,1,7788,0.109531484,log10 units,Males and females,Cofactors and vitamins,2014,,,
Adrenate (22:4n6),public,Shin,Metabolites,NA,537,1,NA,NA,NA,2545645,24816252,European,1,7778,0.172073192,log10 units,Males and females,Fatty acid,2014,,,
Homostachydrine*,public,Shin,Metabolites,NA,538,1,NA,NA,NA,2545071,24816252,European,1,3003,0.180148782,log10 units,Males and females,Xenobiotics,2014,,,
ADSGEGDFXAEGGGVR*,public,Shin,Metabolites,NA,539,1,NA,NA,NA,2545664,24816252,European,1,5588,0.32556029,log10 units,Males and females,Peptide,2014,,,
X-11786--methylcysteine,public,Shin,Metabolites,NA,540,1,NA,NA,NA,2545672,24816252,European,1,2811,0.180046284,log10 units,Males and females,Amino acid,2014,,,
X-11787,public,Shin,Metabolites,NA,541,1,NA,NA,NA,2545629,24816252,European,1,7811,0.080847896,log10 units,Males and females,Unknown metabolite,2014,,,
X-11792,public,Shin,Metabolites,NA,542,1,NA,NA,NA,2544998,24816252,European,1,2442,0.371792405,log10 units,Males and females,Unknown metabolite,2014,,,
X-11793--oxidized bilirubin*,public,Shin,Metabolites,NA,543,1,NA,NA,NA,2545819,24816252,European,1,7611,0.218087506,log10 units,Males and females,Cofactors and vitamins,2014,,,
X-11795,public,Shin,Metabolites,NA,544,1,NA,NA,NA,2545664,24816252,European,1,7763,0.181866764,log10 units,Males and females,Unknown metabolite,2014,,,
X-11799,public,Shin,Metabolites,NA,545,1,NA,NA,NA,2545366,24816252,European,1,5038,0.378058134,log10 units,Males and females,Unknown metabolite,2014,,,
X-11805,public,Shin,Metabolites,NA,546,1,NA,NA,NA,2545657,24816252,European,1,2814,0.291841271,log10 units,Males and females,Unknown metabolite,2014,,,
X-11818,public,Shin,Metabolites,NA,547,1,NA,NA,NA,2546063,24816252,European,1,6790,0.159136743,log10 units,Males and females,Unknown metabolite,2014,,,
X-11820,public,Shin,Metabolites,NA,548,1,NA,NA,NA,2545735,24816252,European,1,7710,0.212673048,log10 units,Males and females,Unknown metabolite,2014,,,
X-11843,public,Shin,Metabolites,NA,549,1,NA,NA,NA,2545410,24816252,European,1,3938,0.372657882,log10 units,Males and females,Unknown metabolite,2014,,,
X-11845,public,Shin,Metabolites,NA,550,1,NA,NA,NA,2545107,24816252,European,1,2741,0.368188544,log10 units,Males and females,Unknown metabolite,2014,,,
X-11847,public,Shin,Metabolites,NA,551,1,NA,NA,NA,2545391,24816252,European,1,6059,0.496383852,log10 units,Males and females,Unknown metabolite,2014,,,
